"Metric","Value"
"Nodes",157
"Edges",1762
"Density",0.143883717132125
"Diameter",4
"Average Path Length",2.13996406990038
"Clustering Coefficient",0.469026034402603
"Positive Correlations",1294
"Negative Correlations",468
"Modularity",0.433998633681777
