function	insect_51_WholeSpecimen	insect_52_WholeSpecimen	insect_53_WholeSpecimen	insect_54_WholeSpecimen	insect_55_WholeSpecimen	insect_56_WholeSpecimen	insect_57_WholeSpecimen	insect_58_WholeSpecimen	insect_59_WholeSpecimen	insect_60_WholeSpecimen	insect_61_WholeSpecimen	insect_62_WholeSpecimen	insect_63_WholeSpecimen	insect_64_WholeSpecimen	insect_65_WholeSpecimen	insect_66_WholeSpecimen	insect_67_WholeSpecimen	insect_68_WholeSpecimen	insect_69_WholeSpecimen	insect_70_WholeSpecimen
RXN-12402	844.69	36.0	452.93	164.0	5577.07	42161.0	2022.0	32.0	33789.36	376.99	180.29	2915.45	2334.51	205.07	1472.23	299.99	3694.6	417.13	2897.9	334.0
RXN-12406	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RXN-1241	23.0	0.0	471.19	35.8	24.0	214.0	55.75	159.0	556.5	67.0	255.0	1132.0	151.0	79.67	1005.0	5.5	13110.07	264.0	3379.0	261.25
RXN-12410	861.45	44.0	1027.72	927.5	7.0	14458.2	3.0	920.0	624.14	131.17000000000002	208.0	2824.52	1548.34	79.67	204.27	165.0	166.0	199.0	35.0	0.0
RXN-12411	861.45	44.0	1027.72	927.5	7.0	14458.2	3.0	920.0	624.14	131.17000000000002	208.0	2824.52	1548.34	79.67	204.27	165.0	166.0	199.0	35.0	0.0
RXN-12414	861.45	44.0	1027.72	927.5	7.0	14458.2	3.0	920.0	624.14	131.17000000000002	208.0	2824.52	1548.34	79.67	204.27	165.0	166.0	199.0	35.0	0.0
RXN-12420	20.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RXN-12422	0.0	14.33	0.0	0.0	69.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RXN-12423	0.0	0.0	44.98	0.0	0.0	0.0	10.75	0.0	8.5	97.02	0.0	1853.98	4410.0	0.0	181.02	0.5	0.0	0.0	0.0	261.25
RXN-12424	0.0	0.0	44.98	0.0	0.0	0.0	10.75	0.0	8.5	97.02	0.0	1853.98	4410.0	0.0	181.02	0.5	0.0	0.0	0.0	261.25
